Rok;Mesic;Den;Hodnota;
2012;03;2;1.1;
2012;03;3;9.8;
2012;03;4;7.8;
2012;03;5;9.9;
2012;03;6;10.3;
2012;03;7;8.6;
2012;03;8;0;
2012;03;9;9.4;
2012;03;10;3.1;
2012;03;11;.7;
2012;03;12;0;
2012;03;13;.2;
2012;03;14;0;
2012;03;15;1;
2012;03;16;10.6;
2012;03;17;10.6;
2012;03;18;9.6;
2012;03;19;7.4;
2012;03;20;11.4;
2012;03;21;11.1;
2012;03;22;6.6;
2012;03;23;9.9;
2012;03;24;10.3;
2012;03;25;11.7;
2012;03;26;12;
2012;03;27;9.9;
2012;03;28;11.6;
2012;03;29;1.2;
2012;03;30;.8;
2012;03;31;1.2;
2012;04;1;7.3;
2012;04;2;.5;
2012;04;3;6.9;
2012;04;4;6.1;
2012;04;5;0;
2012;04;6;0;
2012;04;7;3.6;
2012;04;8;2.7;
2012;04;9;11.8;
2012;04;10;1;
2012;04;11;9.9;
2012;04;12;1.4;
2012;04;13;4.5;
2012;04;14;7.6;
2012;04;15;0;
2012;04;16;0;
2012;04;17;9;
2012;04;18;8.3;
2012;04;19;3.8;
2012;04;20;8.3;
2012;04;21;8.5;
2012;04;22;2.4;
2012;04;23;10.2;
2012;04;24;7.7;
2012;04;25;8.5;
2012;04;26;13.7;
2012;04;27;13.3;
2012;04;28;13.6;
2012;04;29;11.1;
2012;04;30;12.9;
2012;05;1;13.7;
2012;05;2;10.3;
2012;05;3;8.3;
2012;05;4;11.2;
2012;05;5;8.4;
2012;05;6;4.5;
2012;05;7;6.6;
2012;05;8;10.1;
2012;05;9;10.2;
2012;05;10;11.2;
2012;05;11;11.8;
2012;05;12;3.2;
2012;05;13;7.2;
2012;05;14;3.4;
2012;05;15;6.4;
2012;05;16;3.3;
2012;05;17;6.1;
2012;05;18;11.5;
2012;05;19;14.5;
2012;05;20;13.2;
2012;05;21;9.9;
2012;05;22;8.2;
2012;05;23;13.6;
2012;05;24;12.3;
2012;05;25;13.7;
2012;05;26;12.8;
2012;05;27;10.6;
2012;05;28;5;
2012;05;29;11.5;
2012;05;30;10.8;
2012;05;31;6.6;
2012;06;1;2.7;
2012;06;2;6.2;
2012;06;3;4.8;
2012;06;4;.4;
2012;06;5;0;
2012;06;6;5;
2012;06;7;12;
2012;06;8;5.6;
2012;06;9;4.8;
2012;06;10;2.8;
2012;06;11;5.8;
2012;06;12;1.6;
2012;06;13;5;
2012;06;14;.3;
2012;06;15;8.8;
2012;06;16;13.9;
2012;06;17;8.5;
2012;06;18;13.1;
2012;06;19;9.3;
2012;06;20;4.2;
2012;06;21;6.8;
2012;06;22;9.8;
2012;06;23;13.1;
2012;06;24;11.2;
2012;06;25;5;
2012;06;26;8.5;
2012;06;27;9.2;
2012;06;28;9.5;
2012;06;29;10.7;
2012;06;30;9.5;
2012;07;1;10.7;
2012;07;2;5.8;
2012;07;3;2.1;
2012;07;4;4.3;
2012;07;5;11.1;
2012;07;6;11.5;
2012;07;7;7.4;
2012;07;8;8.7;
2012;07;9;9.1;
2012;07;10;8.9;
2012;07;11;9.6;
2012;07;12;6.6;
2012;07;13;.8;
2012;07;14;6.3;
2012;07;15;4.8;
2012;07;16;3.2;
2012;07;17;2.7;
2012;07;18;3.3;
2012;07;19;5.9;
2012;07;20;3.2;
2012;07;21;4.1;
2012;07;22;4.6;
2012;07;23;14.8;
2012;07;24;14;
2012;07;25;.2;
2012;07;26;12.1;
2012;07;27;12.9;
2012;07;28;10.8;
2012;07;29;3.8;
2012;07;30;9.8;
2012;07;31;8.7;
2012;08;1;13.2;
2012;08;2;12.6;
2012;08;3;5.9;
2012;08;4;12.7;
2012;08;5;8.7;
2012;08;6;9.4;
2012;08;7;7.1;
2012;08;8;7.6;
2012;08;9;9;
2012;08;10;8.1;
2012;08;11;3.5;
2012;08;12;8.5;
2012;08;13;10.5;
2012;08;14;13;
2012;08;15;13.7;
2012;08;16;7.4;
2012;08;17;7.9;
2012;08;18;12.9;
2012;08;19;13.4;
2012;08;20;12.7;
2012;08;21;8.3;
2012;08;22;5;
2012;08;23;12.2;
2012;08;24;2.3;
2012;08;25;4.1;
2012;08;26;3;
2012;08;27;5.3;
2012;08;28;11.4;
2012;08;29;7.8;
2012;08;30;8;
2012;08;31;0;
2012;09;1;0;
2012;09;2;2.6;
2012;09;3;2.4;
2012;09;4;6.4;
2012;09;5;8.6;
2012;09;6;4.6;
2012;09;7;5.7;
2012;09;8;8.1;
2012;09;9;12;
2012;09;10;11.4;
2012;09;11;10.3;
2012;09;12;0;
2012;09;13;3.5;
2012;09;14;10.4;
2012;09;15;1.3;
2012;09;16;9.6;
2012;09;17;7.2;
2012;09;18;9.2;
2012;09;19;.5;
2012;09;20;8.4;
2012;09;21;8.4;
2012;09;22;2.6;
2012;09;23;4.9;
2012;09;24;4.2;
2012;09;25;7.9;
2012;09;26;5.8;
2012;09;27;2.5;
2012;09;28;3.9;
2012;09;29;3.2;
2012;09;30;9.9;
2012;10;1;.5;
2012;10;2;2.5;
2012;10;3;8;
2012;10;4;1;
2012;10;5;3.7;
2012;10;6;5.2;
2012;10;7;1.3;
2012;10;8;4.2;
2012;10;9;5.8;
2012;10;10;3.5;
2012;10;11;5.4;
2012;10;12;.9;
2012;10;13;8.3;
2012;10;14;4.8;
2012;10;15;1.3;
2012;10;16;.2;
2012;10;17;9.2;
2012;10;18;4.6;
2012;10;19;6.2;
2012;10;20;0;
2012;10;21;0;
2012;10;22;0;
2012;10;23;0;
2012;10;24;0;
2012;10;25;0;
2012;10;26;0;
2012;10;27;0;
2012;10;28;5.5;
2012;10;29;0;
2012;10;30;0;
2012;10;31;6.2;
2012;11;1;0;
2012;11;2;1.5;
2012;11;3;1.2;
2012;11;4;1.9;
2012;11;5;.4;
2012;11;6;1.6;
2012;11;7;0;
2012;11;8;1.1;
2012;11;9;1.5;
2012;11;10;1.5;
2012;11;11;0;
2012;11;12;.5;
2012;11;13;5.8;
2012;11;14;7.7;
2012;11;15;2.2;
2012;11;16;0;
2012;11;17;0;
2012;11;18;0;
2012;11;19;4;
2012;11;20;3.7;
2012;11;21;.4;
2012;11;22;0;
2012;11;23;0;
2012;11;24;4.8;
2012;11;25;1.5;
2012;11;26;.1;
2012;11;27;0;
2012;11;28;0;
2012;11;29;0;
2012;11;30;0;
2012;12;1;6.6;
2012;12;2;1.1;
2012;12;3;.3;
2012;12;4;0;
2012;12;5;0;
2012;12;6;.6;
2012;12;7;6.9;
2012;12;8;6.1;
2012;12;9;6.2;
2012;12;10;0;
2012;12;11;0;
2012;12;12;4.4;
2012;12;13;.6;
2012;12;14;1.4;
2012;12;15;0;
2012;12;16;.6;
2012;12;17;0;
2012;12;18;0;
2012;12;19;0;
2012;12;20;.2;
2012;12;21;0;
2012;12;22;0;
2012;12;23;0;
2012;12;24;.7;
2012;12;25;.3;
2012;12;26;0;
2012;12;27;.8;
2012;12;28;5.5;
2012;12;29;4.6;
2012;12;30;.2;
2012;12;31;5.7;
2013;01;1;4.3;
2013;01;2;2;
2013;01;3;0;
2013;01;4;.4;
2013;01;5;0;
2013;01;6;0;
2013;01;7;0;
2013;01;8;0;
2013;01;9;0;
2013;01;10;0;
2013;01;11;.2;
2013;01;12;2.8;
2013;01;13;0;
2013;01;14;0;
2013;01;15;0;
2013;01;16;0;
2013;01;17;0;
2013;01;18;0;
2013;01;19;4.4;
2013;01;20;0;
2013;01;21;0;
2013;01;22;0;
2013;01;23;0;
2013;01;24;0;
2013;01;25;4.1;
2013;01;26;0;
2013;01;27;0;
2013;01;28;0;
2013;01;29;0;
2013;01;30;.9;
2013;01;31;4.2;
2013;02;1;1.4;
2013;02;2;.1;
2013;02;3;5.4;
2013;02;4;0;
2013;02;5;.7;
2013;02;6;5.6;
2013;02;7;5;
2013;02;8;4.6;
2013;02;9;3.1;
2013;02;10;2.7;
2013;02;11;0;
2013;02;12;0;
2013;02;13;0;
2013;02;14;1.4;
2013;02;15;0;
2013;02;16;0;
2013;02;17;0;
2013;02;18;0;
2013;02;19;0;
2013;02;20;1;
2013;02;21;3.8;
2013;02;22;.1;
2013;02;23;0;
2013;02;24;0;
