"Datum";"-A d/789171 [kWh]";"Status";
08.02.2024 00:00;0,0155;namìøená data OK;
09.02.2024 00:00;0,0037;namìøená data OK;
10.02.2024 00:00;0,0003;namìøená data OK;
11.02.2024 00:00;0,125;namìøená data OK;
12.02.2024 00:00;0,0165;namìøená data OK;
13.02.2024 00:00;0,0707;namìøená data OK;
14.02.2024 00:00;0,1517;namìøená data OK;
15.02.2024 00:00;0,1145;namìøená data OK;
16.02.2024 00:00;0,0372;namìøená data OK;
17.02.2024 00:00;2,52;namìøená data OK;
18.02.2024 00:00;0,1087;namìøená data OK;
19.02.2024 00:00;6,7;namìøená data OK;
20.02.2024 00:00;0,0635;namìøená data OK;
21.02.2024 00:00;0,086;namìøená data OK;
22.02.2024 00:00;0,1095;namìøená data OK;
23.02.2024 00:00;0,0222;namìøená data OK;
24.02.2024 00:00;0,0597;namìøená data OK;
25.02.2024 00:00;11,1195;namìøená data OK;
26.02.2024 00:00;0,046;namìøená data, vıpadek napìtí;
27.02.2024 00:00;0,0732;namìøená data OK;
28.02.2024 00:00;0,046;namìøená data OK;
29.02.2024 00:00;0,0105;namìøená data OK;
01.03.2024 00:00;0,0145;namìøená data OK;
02.03.2024 00:00;0,113;namìøená data OK;
03.03.2024 00:00;0,128;namìøená data OK;
04.03.2024 00:00;0,109;namìøená data OK;
05.03.2024 00:00;0,7352;namìøená data OK;
06.03.2024 00:00;0,0325;namìøená data OK;
07.03.2024 00:00;4,3395;namìøená data OK;
08.03.2024 00:00;0,0892;namìøená data OK;
09.03.2024 00:00;16,4608;namìøená data OK;
10.03.2024 00:00;0,0135;namìøená data OK;
11.03.2024 00:00;0,0712;namìøená data OK;
12.03.2024 00:00;17,0185;namìøená data OK;
13.03.2024 00:00;0,0912;namìøená data OK;
14.03.2024 00:00;19,4672;namìøená data OK;
15.03.2024 00:00;6,6117;namìøená data OK;
