#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PKAR01;Praha, Karlov;01.01.1961;31.12.2002;14.4186;50.0675;260.5
P1PKAR01;Praha, Karlov;01.01.2003;31.12.2023;14.427778;50.069167;260.5

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.1984;31.12.2023;1.5

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1985;12;3;3820;
1985;12;4;1368;
1985;12;5;3586;
1985;12;6;2801;
1985;12;7;997;
1985;12;8;1850;
1985;12;9;1429;
1985;12;10;601;
1985;12;11;947;
1985;12;12;731;
1985;12;13;1213;
1985;12;14;1073;
1985;12;15;1192;
1985;12;16;504;
1985;12;17;191;
1985;12;18;443;
1985;12;19;1742;
1985;12;20;904;
1985;12;21;1580;
1985;12;22;3863;
1985;12;23;461;
1985;12;24;626;
1985;12;25;2077;
1985;12;26;2545;
1985;12;27;2819;
1985;12;28;623;
1985;12;29;288;
1985;12;30;3226;
1985;12;31;1091;
1986;01;1;1922;
1986;01;2;1192;
1986;01;3;2970;
1986;01;4;1102;
1986;01;5;3780;
1986;01;6;2977;
1986;01;7;1440;
1986;01;8;1249;
1986;01;9;1339;
1986;01;10;4262;
1986;01;11;3074;
1986;01;12;1530;
1986;01;13;1681;
1986;01;14;896;
1986;01;15;1440;
1986;01;16;2185;
1986;01;17;3042;
1986;01;18;2333;
1986;01;19;1706;
1986;01;20;4932;
1986;01;21;5141;
1986;01;22;2754;
1986;01;23;1202;
1986;01;24;1670;
1986;01;25;2210;
1986;01;26;3874;
1986;01;27;3643;
1986;01;28;4291;
1986;01;29;4475;
1986;01;30;4345;
1986;01;31;2218;
1986;02;1;1634;
1986;02;2;601;
1986;02;3;2142;
1986;02;4;6131;
1986;02;5;6235;
1986;02;6;5404;
1986;02;7;5710;
1986;02;8;3874;
1986;02;9;1415;
1986;02;10;1001;
1986;02;11;7600;
1986;02;12;7729;
1986;02;13;5126;
1986;02;14;5400;
1986;02;15;3978;
1986;02;16;6088;
1986;02;17;2462;
1986;02;18;1688;
1986;02;19;1055;
1986;02;20;8136;
1986;02;21;6923;
1986;02;22;7985;
1986;02;23;4036;
1986;02;24;9119;
1986;02;25;5796;
1986;02;26;10184;
1986;02;27;10015;
1986;02;28;10289;
1986;03;1;7031;
1986;03;2;2905;
1986;03;3;5785;
1986;03;4;6426;
1986;03;5;3107;
1986;03;6;6278;
1986;03;7;1210;
1986;03;8;3632;
1986;03;9;4327;
1986;03;10;7222;
1986;03;11;6368;
1986;03;12;2491;
1986;03;13;1447;
1986;03;14;2358;
1986;03;15;2030;
1986;03;16;9950;
1986;03;17;14206;
1986;03;18;14598;
1986;03;19;14879;
1986;03;20;14807;
1986;03;21;8237;
1986;03;22;10332;
1986;03;23;2840;
1986;03;24;4489;
1986;03;25;10152;
1986;03;26;13291;
1986;03;27;13489;
1986;03;28;14382;
1986;03;29;10458;
1986;03;30;9054;
1986;03;31;8284;
1986;04;1;15167;
1986;04;2;15361;
1986;04;3;9385;
1986;04;4;3697;
1986;04;5;9198;
1986;04;6;3017;
1986;04;7;13658;
1986;04;8;16553;
1986;04;9;17615;
1986;04;10;9230;
1986;04;11;8111;
1986;04;12;8042;
1986;04;13;15415;
1986;04;14;17554;
1986;04;15;20916;
1986;04;16;19012;
1986;04;17;12380;
1986;04;18;4291;
1986;04;19;4561;
1986;04;20;8773;
1986;04;21;15599;
1986;04;22;17384;
1986;04;23;14969;
1986;04;24;19166;
1986;04;25;15480;
1986;04;26;12751;
1986;04;27;13882;
1986;04;28;16096;
1986;04;29;17294;
1986;04;30;19094;
1986;05;1;20221;
1986;05;2;24430;
1986;05;3;23350;
1986;05;4;22990;
1986;05;5;22950;
1986;05;6;24268;
1986;05;7;18911;
1986;05;8;2970;
1986;05;9;13745;
1986;05;10;10537;
1986;05;11;8280;
1986;05;12;18943;
1986;05;13;23990;
1986;05;14;9752;
1986;05;15;15808;
1986;05;16;17237;
1986;05;17;17500;
1986;05;18;19937;
1986;05;19;11797;
1986;05;20;15059;
1986;05;21;14638;
1986;05;22;18086;
1986;05;23;22262;
1986;05;24;13406;
1986;05;25;26006;
1986;05;26;26154;
1986;05;27;21964;
1986;05;28;2794;
1986;05;29;3164;
1986;05;30;2171;
1986;05;31;6340;
1986;06;1;18360;
1986;06;2;20351;
1986;06;3;17813;
1986;06;4;5353;
1986;06;5;7729;
1986;06;6;12107;
1986;06;7;10476;
1986;06;8;16362;
1986;06;9;20668;
1986;06;10;27508;
1986;06;11;21604;
1986;06;12;2336;
1986;06;13;6347;
1986;06;14;24556;
1986;06;15;26219;
1986;06;16;24937;
1986;06;17;23018;
1986;06;18;23375;
1986;06;19;14551;
1986;06;20;18432;
1986;06;21;22356;
1986;06;22;23076;
